lang,gl,var1,var2,var3
apah1238,-1p.IM.PST,-1p.PRS,,
apah1238,-1s.IM.PST,-1s.PRS,,
apah1238,-ADV.PART,ADV.PART,,
apah1238,-SEQ,-CONJ,,
apah1238,=TOP,=FOC,TOP,FOC
apah1238,3p.OBJ,3p.OBJ:DIR,,
apah1238,3s.OBJ,-3s.OBJ,,
apah1238,advice,suggestion,,
apah1238,already,finish,,
apah1238,also,too,,
apah1238,angle,triangle,quadrangle,
apah1238,at,in,on,with
apah1238,bad,not.good,,
apah1238,become,happen,,
apah1238,bring,carry,take,
apah1238,clothes,dress,,
apah1238,come,come:3s.IM.PST,,
apah1238,direction,aim,purpose,
apah1238,DIST.LOC,these,,
apah1238,enter,insert,,
apah1238,fruit,seed,,
apah1238,go,go:POT,,
apah1238,go.out,take.outside,,
apah1238,go.up,3s.IM.PST:go,,
apah1238,ground,earth,soil,
apah1238,hand,claw,branch,
apah1238,head,hat,top,
apah1238,hear,listen,,
apah1238,just,only,,
apah1238,kill,hit,die,
apah1238,leg,foot,,
apah1238,little,small,,
apah1238,man,people,,
apah1238,many,much,,
apah1238,no,not,nothing,
apah1238,pity,sympathy,,
apah1238,place,village,house,
apah1238,PRX.LOC,here,,
apah1238,river,water,,
apah1238,say:1.REM.PST,1.REM.PST:say,,
apah1238,stay,live,,
apah1238,step,step.on,,
apah1238,sugar.cane,sugar.cane.seed,,
apah1238,that,DIST,,
apah1238,to,till,,
apah1238,tomorrow,yesterday,,
apah1238,true.rule.of.life,news,matter,information
apah1238,voice,sound,,
apah1238,work,job,,
