lang,gl,var1,var2
bain1259,-Perf,Perf-,
bain1259,-Rel,Rel-,
bain1259,1.Pl.excl,1Pl.excl,1Plexcl
bain1259,Agr.ba-,-Agr.ba,
bain1259,Agr.bu-,-Agr.bu,
bain1259,Agr.ko-,-Agr.ko,
bain1259,Agr.si-,Agr.sin-,
bain1259,Agr.u-,-Agr.u,
bain1259,be,-be,
bain1259,beat,beat.drums,
bain1259,beautiful,be beautiful,
bain1259,black,be black,
bain1259,braid one's hair,weave,
bain1259,bring down,drop,
bain1259,chat,conversation,speak
bain1259,Cl.ku-,Cl.kun-,
bain1259,Conn,-Conn,
bain1259,Dem:Cl.ba,Dem.Cl:ba,
bain1259,deposit,put,
bain1259,discuss,discuss~,
bain1259,do ceremony,religious ceremony,
bain1259,draw water,pond,
bain1259,dusk,be dusk,
bain1259,eat,eat~,
bain1259,Emph,-Emph,
bain1259,fill,be full,
bain1259,finish (tr.),be finished,
bain1259,first,premier,
bain1259,fish with net,fishernet,
bain1259,Foc.Sbj-,Foc.Subj-,Foc.Sbj
bain1259,get up,stand up,
bain1259,go,go~,
bain1259,hear,understand,
bain1259,here,Dem:Cl.bi,
bain1259,house,backyard,
bain1259,I,I-,
bain1259,Loc,Loc-,
bain1259,look for,search,
bain1259,man,male,
bain1259,maternal aunt,paternal aunt,
bain1259,moon,month,
bain1259,pour out,pourer,
bain1259,Prep,in/at,
bain1259,shame,be ashamed,
bain1259,sit down,sit,
bain1259,small,be small,
bain1259,there,-there,
bain1259,thus,too,-too
bain1259,trouble,be difficult,
bain1259,turn around,turn,
bain1259,white,whiten,
bain1259,woman,female,
