lang,gl,var1,var2,var3,var4,var5
beja1238,-3.PFV.SG.M,-PFV.3SG.M,,,,
beja1238,-3.SG.F.IPFV,-IPFV.3SG.F,,,,
beja1238,-3SG.M.IPFV,-IPFV.3SG.M,,,,
beja1238,-ADJVZ,-ADJZ,,,,
beja1238,-AOR.3SG,-AOR.3SG.M,-AOR.1SG,,,
beja1238,-CVB.SEQ,-CVB.ANT,,,,
beja1238,-GEN,-GEN.SG,,,,
beja1238,-IMP.SG.F,-IMP-SG.F,,,,
beja1238,-IMP.SG.M,-SG.M,-M,,,
beja1238,-LINK,-L,,,,
beja1238,-N.AC,-N.A,,,,
beja1238,-NEG.OPT,-NEG.OPT.SG,,,,
beja1238,-PFV.1PL,-1PL.PFV,,,,
beja1238,-PFV.2SG.M,-PFV.2SG,,,,
beja1238,-RECP,-RECP.[AOR.[3SG.M],,,,
beja1238,=ABL,=ABL.SG,,,,
beja1238,=COP.3PL,=COP.1PL,,,,
beja1238,=COP.3SG,=COP.1SG,=COP.2SG,=COP.3SG.M,,
beja1238,=INDF.F,=IND.F,=INDF,,,
beja1238,=INDF.M.ACC,=INDF.M,,,,
beja1238,=LOC.PL,=LOC.PLC,,,,
beja1238,=POSS.1SG.ACC,=POSS.1SG.NOM,=POSS.1SG,=POSS.1SG.ACC.,=POSS1.SG.ACC,
beja1238,=POSS.3PL.ACC,=POSS.PL.ACC,=POSS.PL.M.ACC,=POSS3.PL.ACC,,
beja1238,=POSS.3PL.NOM,=POSS.PL.NOM,,,,
beja1238,=POSS.3SG.ACC,=POSS.3ACC,=POSS.3.SG.ACC,,,
beja1238,=REL.SG.M,=REL.M,,,,
beja1238,=SIMIL.PL,=SMLT.PL,,,,
beja1238,=thing,=chose,thing,chose,,
beja1238,~PLAC,~PLAC\PFV.[1SG],,,,
beja1238,1SG-,1SG.M-,,,,
beja1238,1SG.NOM,1SG,1SG.PRO,POSS.1SG.NOM,1SG.GEN,
beja1238,2-,2SG-,2SG.F-,2SG.M-,,
beja1238,2PL.F.ACC,OBJ.2PL.F.ACC,,,,
beja1238,3-,3M-,3SG.M-,3SG.M.SG-,,
beja1238,3ABL,ABL.3,,,,
beja1238,3SG.F-,3SG-,,,,
beja1238,accompanyIPFV,accompany,,,,
beja1238,ADRF,ADRF.SG.M,,,,
beja1238,agreement,convention,,,,
beja1238,annoy,tire_out,,,,
beja1238,anyway,anayway,,,,
beja1238,appointment\PL,appointement\PL,,,,
beja1238,approach\IPFV,get_close,,,,
beja1238,ask,ask\N.AC,,,,
beja1238,at_night,a_tnight,,,,
beja1238,back,behind,,,,
beja1238,be,become,,,,
beja1238,be_big,be_big\IPFV,be_big\PFV,,,
beja1238,be_cooked\PFV,cooked\ADJ,,,,
beja1238,be_down,be_down\PFV,,,,
beja1238,be_fat\AOR,be_fat,,,,
beja1238,be_numerous,be_much,increase,,,
beja1238,be_perfumed,perfumed,,,,
beja1238,be_quenched,be_quenched\PFV,,,,
beja1238,be_rich,be_rich\N.AC,be_full_up,,,
beja1238,be_there\IPFV,be_there\AOR,be_there\AOR.[3SG.M],,,
beja1238,be_there\PFV,be_there\NEG..OPT,be_there\NEG.OPT,be_there_CVB.MNR,be_there\ACMP,
beja1238,be_thirsty\INT,be_thirsty\INT.AOR,be_thirsty\INT.PFV,,,
beja1238,be_unable\INT,be_unable\INT.PFV,,,,
beja1238,be_up,be_up\PFV,,,,
beja1238,be_where,be_where.IPFV.3SG.M],,,,
beja1238,be\PFV,become\PFV,,,,
beja1238,beautiful,prettiness,,,,
beja1238,become_Muslim,become_muslim,,,,
beja1238,become_soft\PFV,become_weak\PFV,be_weak\PFV,,,
