lang,gl,var1,var2,var3,var4
bora1263,-CLF.distance,-CLF.duration,,,
bora1263,-CLF.man,-CLF.male,,,
bora1263,-CLF.night,-at_night,,,
bora1263,-DU,-DL,,,
bora1263,-M.SG,-SG.M,-3SG.M,,
bora1263,-PERF,=PERF,,,
bora1263,-PRED,-PRD,,,
bora1263,=AFIR,-AFIR,,,
bora1263,=incredulity,=irritation,,,
bora1263,1.PL,1PL,1PL-,1PL.POSS-,PL.IMP-
bora1263,1.PL.EXCL,1PL.EXCL,,,
bora1263,1SG=,1SG,,,
bora1263,2.DU,2.DU.IMP,,,
bora1263,2.F.DU,2DU.F,,,
bora1263,2.PL,2PL,,,
bora1263,2SG=,2SG,,,
bora1263,abandoned_garden,fallow,,,
bora1263,above,be_high,,,
bora1263,advise,teach,,,
bora1263,all,complete,,,
bora1263,all_bend,complete_bend,,,
bora1263,already,before,,,
bora1263,be_able,can,,,
bora1263,be_annoying,detestation,,,
bora1263,be_cooked,cooked,,,
bora1263,begin,beginning,first,,
bora1263,bottom,base,,,
bora1263,clay_pot,clay_oven,,,
bora1263,CLF.house,CL.house,,,
bora1263,climb,go_up,,,
bora1263,darkness,evening,,,
bora1263,dawn,dawn_break,,,
bora1263,distance,duration,,,
bora1263,do,hit,,,
bora1263,early,morning,,,
bora1263,earth,white_clay,,,
bora1263,end,consequence,,,
bora1263,fish,fishing,,,
bora1263,fruit,have_fruit,,,
bora1263,get,take,,,
bora1263,go,goi,,,
bora1263,good,nice,,,
bora1263,guard,wait,,,
bora1263,hunting,prey,weapon,,
bora1263,irapay,irapay_leaves,,,
bora1263,know,knowledge,be_wise,,
bora1263,listen,understand,,,
bora1263,little,few,,,
bora1263,make_holes,pin,,,
bora1263,many,big,,,
bora1263,middle,center,,,
bora1263,okay,ok,,,
bora1263,on,top,,,
bora1263,pain,hurt,,,
bora1263,permission,persmission,,,
bora1263,quick,quickly,,,
bora1263,she,3.SG.F.PROX,,,
bora1263,spirit,devil,,,
bora1263,spit,spittle,,,
bora1263,steal,theft,,,
bora1263,sun,moon,,,
bora1263,sword,truncheon,,,
bora1263,tar,tobaco_paste,,,
bora1263,tree,copal_tree,,,
bora1263,ugly,dirty,,,
bora1263,visit,go_home,,,
