lang,gl,var1,var2,var3,var4
cabe1245,-CMPL,-COMPL,,,
cabe1245,-MID,-MIDPFV,,,
cabe1245,-PFV,-PFVMID,-PVF,,
cabe1245,-PNCT,-PCNT,-ONCT,,
cabe1245,-PRSP,-PRPS,,,
cabe1245,1SG,1SG_ERG,,,
cabe1245,air,breath,,,
cabe1245,also,too,,,
cabe1245,ancestor,elder,,,
cabe1245,ask_forPFV,callPFV,,,
cabe1245,At_that_moment,At_that_point,at_that_point,that_point,
cabe1245,awakePFV,wake_upPFV,,,
cabe1245,barkPFV,roarPFV,shoutPFV,,
cabe1245,be_glad,get_happyMID,,,
cabe1245,before,front,in_front,,
cabe1245,bike,car,computer,material,tractor
cabe1245,bitePFV,bitPFV,,,
cabe1245,bother,fuck_around,,,
cabe1245,bush,forest,,,
cabe1245,Cabecar,Cabercar,,,
cabe1245,Caibo,Ceibo,,,
cabe1245,cause,because,therefore,,
cabe1245,chicken,hen,,,
cabe1245,clothes,cloth,,,
cabe1245,come,comePFV,cone,,
cabe1245,other,comrade,different,,
cabe1245,crashPFV,crashPFVMID,,,
cabe1245,creature,evil,being,,
cabe1245,curePFV,fixPFV,,,
cabe1245,diePFV,standPFV,stand_stillPFV,,
cabe1245,disappearPFV,disappearPFVMID,,,
cabe1245,eat,devour,,,
cabe1245,eatPFV,devourPFV,,,
cabe1245,enterPFV,put_inPFV,sendPFV,orderPFV,
cabe1245,exist,there_be,there_is,,
cabe1245,exitPFV,leavePFV,go_outPFV,,
cabe1245,fall,fallPFV,fall_downPFV,falldownPFV,
cabe1245,fill,full,,,
cabe1245,fix,heal,,,
cabe1245,flat,plane,,,
cabe1245,foreign,Spanish,,,
cabe1245,scarePFV,scareMIDPFV,scarePFVMID,frightenPFV,
cabe1245,get_madPFV,get_madPFVMID,,,
cabe1245,givePFV,givePGV,,,
cabe1245,grab,catch,,,
cabe1245,grandchild,grandson,,,
cabe1245,grow,grow_up,,,
cabe1245,have_to,must,,,
cabe1245,healer,sorcerer,,,
cabe1245,hitPFV,kickPFV,,,
cabe1245,ill,sick,,,
cabe1245,increase,pile_upPFV,,,
cabe1245,lie,lie_from,,,
cabe1245,live,livbe,,,
cabe1245,lock,close,,,
cabe1245,lockPFV,closePFV,lock_inPFV,,
cabe1245,look,seeMID,,,
cabe1245,look_for,search,,,
cabe1245,look_forPFV,searchPFV,,,
cabe1245,lose,forget,,,
cabe1245,makePFV,madePFV,,,
cabe1245,missMID,missPFV,forgetMID,forgetPFV,
cabe1245,nice,well,,,
cabe1245,now,today,nowadays,,
cabe1245,once_again,once_more,,,
cabe1245,only,just,,,
cabe1245,person,pers,people,,
cabe1245,play,pay,,,
cabe1245,put_downPFV,put downPFV,,,
cabe1245,real,true,,,
cabe1245,ripe_banana,ribe_banana,,,
cabe1245,river,water,,,
cabe1245,run,runPL,,,
cabe1245,self,selves,sleves,owner,
cabe1245,small,little,,,
cabe1245,spreadMID,widespread,,,
cabe1245,stayPFV,remainPFV,remainPFVMID,keep_onPFV,remainMID
cabe1245,Talamanca,Talamanka,Talamanaca,,
cabe1245,throwPFV ,throw_downPFV,,,
cabe1245,thus,so,,,
cabe1245,tree,stick,,,
cabe1245,want,wantPFV,,,
cabe1245,who,someone,,,
cabe1245,woman,wife,,,
cabe1245,where,Where,,,
cabe1245,then,Then,,,
