lang,gl,var1,var2,var3,var4,var5
cash1254,-ASP,-INCOMPL,-PERF,ASP-,,
cash1254,-ASS,-ASS.COL,-ASS.ENF,ASS-,,
cash1254,-ATR,-ATT,,,,
cash1254,-CONCL,-to.the.end,,,,
cash1254,-CONJ,-CONJ.TEMP,-TEMP,,,
cash1254,-DISTR,-one.by.one,,,,
cash1254,-FOC,-FOC.COL,-TOP,TOP-,,
cash1254,-FUT,-PROSP,,,,
cash1254,-INTER,-INTERR,-INTER.MOD,INTER-,,
cash1254,-PL,-PL.MOD,PL-,,,
cash1254,-VOL,-DESID,VOL-,,,
cash1254,1SG,1SG.NOM,1SG.POSS,,,
cash1254,2SG,2SG.NOM,2SG.POSS,,,
cash1254,3,DEM,DET,PRO,,
cash1254,3.self,DEM.3.self,this.one,,,
cash1254,3PL.NOM,3PL.POSS,,,,
cash1254,a.little,some,,,,
cash1254,acouchi,acouti,,,,
cash1254,after.a.while,shortly.afterwards,,,,
cash1254,again,Again,,,,
cash1254,all,stop/all,,,,
cash1254,arrive,come,enter,,,
cash1254,ashamed,embarrass,,,,
cash1254,assemble,gather,,,,
cash1254,bad,ugly,,,,
cash1254,bad.at.hunting,bad.hunter,bad.hunter.ABS,bad.luck.at.hunting,,
cash1254,basket,type.of.basket,,,,
cash1254,be.hungry.for.meat,hungry.for.meat,hungry.formeat,hungry,,
cash1254,beginning,start,begin,,,
cash1254,big,be.big,grown,,,
cash1254,bowl,plate,,,,
cash1254,brother,older.brother,,,,
cash1254,brother.in.law,brother.in.law.ABS,,,,
cash1254,clothes,female.skirt,,,,
cash1254,copulate,have.sex,,,,
cash1254,cry,shout,bark,,,
cash1254,day,hour,sun,sun/hour,,
cash1254,deceive,cheat,,,,
cash1254,design,pattern,,,,
cash1254,devour,swallow,ingest,,,
cash1254,different,diverse,various,,,
cash1254,downhill,downriver,downwards,,,
cash1254,early,morning/early,,,,
cash1254,entrance,entrance.of.creek,entrance.of.river,,,
cash1254,escape,escape/hide,,,,
cash1254,EVID,evid,,,,
cash1254,far,there.far,,,,
cash1254,fasten,tie.hammock,,,,
cash1254,feces,defecate,,,,
cash1254,field,plantation,,,,
cash1254,fire,fire.ABS,,,,
cash1254,five/hand,hand,,,,
cash1254,flute,instrument,,,,
cash1254,foot,footprint,,,,
cash1254,frog,frog.ABS,,,,
cash1254,get,grab,pick,pick.up,,
cash1254,get.accostumed,accostumed,,,,
cash1254,get.into.hammock,get.in.hammock,,,,
