lang,gl,var1,var2,var3,var4,var5
dolg1241,-1PL,-1PL.[NOM],,,,
dolg1241,-1SG,-1SG.[NOM],,,,
dolg1241,-2SG,-2SG.[NOM],,,,
dolg1241,-3PL,-3PL.[NOM],-PL,-PL.[NOM],,
dolg1241,-3SG,-3SG.[NOM],,,,
dolg1241,-ADJZ,-ADJZ.[NOM],,,,
dolg1241,-AG,-AG.[NOM],,,,
dolg1241,-CAP,-CAP.[3SG],,,,
dolg1241,-CAUS,-CAUS.[IMP.2SG],,,,
dolg1241,-COND,-COND.[3SG],,,,
dolg1241,-DIM,-DIM.[NOM],,,,
dolg1241,-FUT,-PTCP.FUT,-PTCP.FUT.[3SG],-PTCP.FUT.[NOM],-FUT.[3SG],-FUT.[IMP.2SG]
dolg1241,-HAB,-HAB.[3SG],-PTCP.HAB,,,
dolg1241,-INTNS,-INTNS.[NOM],,,,
dolg1241,-NEC,-NEC.[3SG],,,,
dolg1241,-NEG,-NEG.PTCP,-NEG.PTCP.[NOM],-NEG.[3SG],-NEG.[IMP.2SG],
dolg1241,-NMNZ,-NMNZ.[NOM],,,,
dolg1241,-PROPR,-PROPR.[3SG],-PROPR.[NOM],,,
dolg1241,-PRS.[3SG],-PTCP.PRS,-PTCP.PRS.[NOM],,,
dolg1241,-PST2,-PST2.[3SG],-PTCP.PST,,,
dolg1241,-PST2.NEG,-PST2.NEG.[3SG],-NEG.PTCP.PST,,,
dolg1241,1PL,1PL.[NOM],,,,
dolg1241,3PL,3PL.[NOM],,,,
dolg1241,3SG,3SG.[NOM],,,,
dolg1241,animal.hair,animal.hair.[NOM],,,,
dolg1241,back,back.[NOM],,,,
dolg1241,bad,bad.[NOM],,,,
dolg1241,ballot.card,ballot.card.[NOM],,,,
dolg1241,balok,balok.[NOM],,,,
dolg1241,basket,basket.[NOM],,,,
dolg1241,be.born,give.birth,,,,
dolg1241,bed,bed.[NOM],,,,
dolg1241,beg,beg.[IMP.2SG],,,,
dolg1241,big,big.[NOM],,,,
dolg1241,bone,bone.[NOM],,,,
dolg1241,boy,boy.[NOM],son,,,
dolg1241,breath,breath.[NOM],,,,
dolg1241,bucket,kettle,kettle.[NOM],,,
dolg1241,calf,reindeer.calf,reindeer.calf.[NOM],,,
dolg1241,chew,chew.[IMP.2SG],,,,
dolg1241,child,child.[NOM],,,,
dolg1241,city,city.[NOM],,,,
dolg1241,clean,clean.[NOM],,,,
dolg1241,close,close.[NOM],,,,
dolg1241,closed,closed.[NOM],,,,
dolg1241,clothes,clothes.[NOM],,,,
dolg1241,coal,coal.[NOM],,,,
dolg1241,come,%*-!*%arsabixemidazhejas1eQIN,,,,
dolg1241,cow,cow.[NOM],,,,
dolg1241,daughter,girl,girl.[NOM],,,
dolg1241,day,day.[NOM],,,,
dolg1241,deadfall,deadfall.[NOM],,,,
dolg1241,different,different.[NOM],,,,
dolg1241,distant,distant.[NOM],far.away,,,
dolg1241,door,entrance,,,,
dolg1241,down,lower,,,,
dolg1241,earth,earth.[NOM],,,,
dolg1241,easy,easy.[NOM],,,,
dolg1241,eat,eat.[IMP.2SG],,,,
dolg1241,eat.ones.fill,sated.[NOM],,,,
dolg1241,election,election.[NOM],,,,
dolg1241,evening.[NOM],in.the.evening,,,,
dolg1241,every,whole,,,,
dolg1241,evil.spirit,evil.spirit.[NOM],,,,
dolg1241,Faktoriya,Faktoriya.[NOM],,,,
dolg1241,family,family.[NOM],,,,
dolg1241,fast,fast.[NOM],,,,
dolg1241,fat,fat.[NOM],,,,
dolg1241,father,father.[NOM],,,,
dolg1241,find,find.[IMP.2SG],,,,
dolg1241,fire,fire.[NOM],,,,
dolg1241,fish,fish.[NOM],,,,
dolg1241,flat,flat.[NOM],,,,
dolg1241,follow,follow.[IMP.2SG],,,,
dolg1241,food,food.[NOM],,,,
dolg1241,front,front.[NOM],,,,
dolg1241,full,full.[NOM],,,,
dolg1241,go,go.[IMP.2SG],,,,
dolg1241,god,god.[NOM],,,,
dolg1241,good,good.[NOM],,,,
dolg1241,grab,hold,,,,
dolg1241,grandfather,grandfather.[NOM],,,,
dolg1241,grass,grass.[NOM],,,,
dolg1241,guard,guard.[IMP.2SG],,,,
dolg1241,guest,guest.[NOM],,,,
dolg1241,hand,hand.[NOM],,,,
dolg1241,happy,happy.[NOM],,,,
dolg1241,hare,hare.[NOM],,,,
dolg1241,heat,heat.[NOM],warm,warm.[NOM],,
dolg1241,heavy,heavy.[NOM],,,,
dolg1241,herd,herd.[NOM],,,,
dolg1241,here,hither,,,,
dolg1241,holiday,holiday.[NOM],,,,
dolg1241,horse.fly,horse.fly.[NOM],,,,
dolg1241,house,house.[NOM],tent,tent.[NOM],,
dolg1241,human.being,human.being.[NOM],,,,
dolg1241,intact,complete.[NOM],,,,
dolg1241,Katytyk,Katytyk.[NOM],,,,
dolg1241,know,get.to.know,,,,
dolg1241,kolkhoz,kolkhoz.[NOM],,,,
dolg1241,kulak,kulak.[NOM],,,,
dolg1241,lie.down,lie,,,,
dolg1241,life,life.[NOM],,,,
dolg1241,lower.part,lower.part.[NOM],,,,
dolg1241,man,man.[NOM],husband,,,
dolg1241,man.of.the.house,man.of.the.house.[NOM],,,,
dolg1241,merchant,merchant.[NOM],,,,
dolg1241,midwife,midwife.[NOM],,,,
dolg1241,milkmaid,milkmaid.[NOM],,,,
dolg1241,money,money.[NOM],,,,
dolg1241,Moscow,Moscow.[NOM],,,,
dolg1241,mountain,mountain.[NOM],,,,
dolg1241,name,name.[NOM],,,,
dolg1241,NEG,NEG.EX,NEG.[3SG],no,,
dolg1241,net,net.[NOM],,,,
dolg1241,new,new.[NOM],,,,
dolg1241,news,news.[NOM],story,story.[NOM],article,
dolg1241,nomad.[NOM],nomadize,reindeer.caravan,,,
dolg1241,not.long.ago,recent,,,,
dolg1241,not.yet,not.yet.[3SG],,,,
dolg1241,old,old.[NOM],,,,
dolg1241,old.man,old.man.[NOM],,,,
dolg1241,old.woman,old.woman.[NOM],,,,
dolg1241,on.the.other.shore,to.the.other.shore,,,,
dolg1241,out,outside,,,,
dolg1241,pear,pear.[NOM],,,,
dolg1241,people,people.[NOM],,,,
dolg1241,pieces.of.fur,pieces.of.fur.[NOM],,,,
dolg1241,place.for.chopping.wood,place.for.chopping.wood.[NOM],,,,
dolg1241,plank,plank.[NOM],,,,
dolg1241,pole,pole.[NOM],pole.tent.[NOM],,,
dolg1241,proximity,proximity.[NOM],,,,
dolg1241,pull.down,weigh,,,,
dolg1241,reindeer,reindeer.[NOM],,,,
dolg1241,rich,rich.[NOM],,,,
dolg1241,river,river.[NOM],,,,
dolg1241,Russian,Russian.[NOM],,,,
dolg1241,Saveliy,Saveliy.[NOM],,,,
dolg1241,scraper,scraper.[NOM],,,,
dolg1241,selsoviet,selsoviet.[NOM],,,,
dolg1241,shaman,shaman.[NOM],,,,
