lang,gl,var1,var2,var3,var4,var5
even1259,=FOC,FOC,,,,
even1259,=INDEF,INDEF,,,,
even1259,1PL(EXCL),PS1PL(EXCL),,,,
even1259,1PL(INCL),PS1PL(INCL),,,,
even1259,1SG,PS1SG,1SG??,PS1SGГДЕ_ПАДЕЖ?,,
even1259,2SG,PS2SG,2SG?,,,
even1259,3PL,PS3PL,,,,
even1259,3SG,PS3SG,3sg,,,
even1259,ATR,ADJ,,,,
even1259,ADVZ,ADV,,,,
even1259,INCH,INH,,,,
even1259,NMLZ.AG,PEOPLE,,,,
even1259,PL,PL(зачем??),PL?,,,
even1259,PSIMN,PSIMN?,,,,
even1259,RFL,ACC.RFL,,,,
even1259,RFL.PL,ACC.RFL.PL,,,,
even1259,бегать,побежать,убежать,,,
even1259,белый,побелеть,,,,
even1259,болеть,больной,,,,
even1259,Боронгкон,Боронкон,,,,
even1259,Буран,буран,,,,
even1259,верховой.олень,верховой олень,,,,
even1259,вещь,вещи,,,,
even1259,волк,птица,соболь,утка,,
even1259,воспитать,воспитывать,,,,
even1259,вперед,впредь,,,,
even1259,вспомнить,помнить,,,,
even1259,выйти.замуж,жениться,,,,
even1259,выстрелить,выстрелить.из.ружья,,,,
even1259,гнать,догнать,,,,
even1259,далекий,долгий,долго,долгое время,долгое.время,место.далеко
even1259,дедушка,дед,,,,
even1259,делать,сделать,,,,
even1259,деревянный.дом,изба,,,,
even1259,детский.сад,садик,,,,
even1259,днем,настать(о.дне),,,,
even1259,добыть,охотиться,добыча,,,
even1259,дом.чум,дом,чум,,,
even1259,дорога,след,,,,
even1259,еле,чуть,,,,
even1259,есть,съесть,,,,
even1259,женщина,жена,,,,
even1259,забрать,сходить.за,,,,
even1259,забывать,забыть,,,,
even1259,зверь/дикий.олень,зверь,дикий.олень,,,
even1259,здоровый,выздороветь,,,,
even1259,зимой,настать(о.зиме),зимовать,,,
even1259,идти,ездить,ехать,,,
even1259,кормить,накормить,,,,
even1259,кочевать,аргишить,,,,
even1259,крикнуть,кричать,,,,
even1259,летом,настать(о.лете),,,,
even1259,Лэнгко,Лэнко,,,,
even1259,мм,м.м,,,,
even1259,назад,обратно,раньше,,,
even1259,несчастье,зло,,,,
even1259,ночью,настать(о.ночи),,,,
even1259,овод,паут,,,,
even1259,осенью,настать(об.осени),,,,
even1259,остановиться.на.однодневную.стоянку,остановиться.на.одновневную.стоянку,,,,
even1259,отказаться,не.хотеть,,,,
even1259,оттого,поэтому,,,,
even1259,оттуда,потом,,,,
even1259,перебраться,переправиться,,,,
even1259,пойти.в.гости,прийти.в.гости,,,,
even1259,Потапово,потапово,,,,
even1259,прийти,прибыть,,,,
even1259,провести(о.лете),проводить(о.лете),,,,
even1259,продукт,еда,,,,
even1259,ранней.весной,настать(о.весне),проводить(о.весне),,,
even1259,санки,санка,сани,,,
even1259,свет,светить,,,,
even1259,сильный(о.проявлении.качества),сильный(о.проявлении.признака),,,,
even1259,сломать,сломаться,порвать,,,
even1259,собирать,собрать,,,,
even1259,собираться,собраться,,,,
even1259,солить,засолить,,,,
even1259,специально,специально{*},,,,
even1259,старший.брат,брат,,,,
even1259,сухой,высохнуть,,,,
even1259,сын,юноша,,,,
even1259,три,трое,,,,
even1259,Харги,черт,,,,
even1259,человек,человек.мужчина,,,,
even1259,озеро,Озеро,,,,
