lang,gl,var1,var2,var3
goem1240,1Pl,1Pl.I,1Pl.O,
goem1240,1Sg.I,1Sg.O,1Sg.S,
goem1240,2Sgf.I,2Sgf.O,2Sgf.S,
goem1240,2Sgm,2Sgm.I,2Sgm.O,2Sgm.S
goem1240,3Pl,3Pl.I,3Pl.O,3Pl.S
goem1240,3Sg,3Sg.I,3Sg.S,3Sg.O
goem1240,animal,meat,,
goem1240,ask,greet,greeting,
goem1240,beauty,beautiful,,
goem1240,die,death,,
goem1240,eat,food,,
goem1240,exist,exist-,,
goem1240,give_birth,be_born,,
goem1240,kind,kind-,,
goem1240,LogA.Sgf.I,LogA.Sgf.O,LogA.Sgf.S,
goem1240,LogA.Sgm.I,LogA.Sgm.O,LogA.Sgm.S,
goem1240,LogS.Sgf.I,LogS.Sgf.O,LogS.Sgf.S,
goem1240,LogS.Sgm.I,LogS.Sgm.O,LogS.Sgm.S,
goem1240,slander,slandering,,
goem1240,speak,speech,,
goem1240,steal,stealing,,
goem1240,talk,talking,,
