lang,gl,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17
goro1270,-1Pl,-1Pl.?,-1Pl.Pres,-1Pl.Pst,-1.Pl,-Pl.Pst,-1Pl.Subj,,,,,,,,,,,
goro1270,-3Pl,-3Pl.Pres,,,,,,,,,,,,,,,,
goro1270,-Ext,-Ext-,,,,,,,,,,,,,,,,
goro1270,-Imp.Pl.O,Imp.Pl.O,,,,,,,,,,,,,,,,
goro1270,-Imp.Sg.O,-Imp.Sg.Ob,,,,,,,,,,,,,,,,
goro1270,-Imp.Sg.Vent.O,-Imp.Vent.Sg.O,,,,,,,,,,,,,,,,
goro1270,-N,-N.?,-N.Pres,-N.Pst,-N.Subj,N,,,,,,,,,,,,
goro1270,=Consec,-Consec,,,,,,,,,,,,,,,,
goro1270,=Emph,=Emp,,,,,,,,,,,,,,,,
goro1270,=Expect,-Expect,,,,,,,,,,,,,,,,
goro1270,=Imprf,=?Imprf,-Imprf,,,,,,,,,,,,,,,
goro1270,=Indef,=Indef.N,=Indef\M,Indef.N,Indef.M,,,,,,,,,,,,,
goro1270,=Poss.1Pl,=Poss1Pl,-Poss.1Pl,,,,,,,,,,,,,,,
goro1270,=Poss.1Sg,=Poss1Sg,-Poss.1Sg,,,,,,,,,,,,,,,
goro1270,=Poss.2Sg,=Poss2Sg,,,,,,,,,,,,,,,,
goro1270,=Poss.3Pl,=Poss3Pl,-Poss.3Pl,,,,,,,,,,,,,,,
goro1270,=Poss.3Sg,=Poss3Sg,-Poss.3Sg,,,,,,,,,,,,,,,
goro1270,=Top,=?Top,,,,,,,,,,,,,,,,
goro1270,=Vent,=AuxVent,,,,,,,,,,,,,,,,
goro1270,again,?again,,,,,,,,,,,,,,,,
goro1270,all,every,each,?each,,,,,,,,,,,,,,
goro1270,and,?and,,,,,,,,,,,,,,,,
goro1270,Approx~,Aprox~,,,,,,,,,,,,,,,,
goro1270,arrive,arrive\2Sg.?,arrive\3.Pst,arrive\F.Pst,arrive\M.Pst,arrive\SImprs.Pst,come\M.Pst,,,,,,,,,,,
goro1270,at,place,place\LF,place\F,,,,,,,,,,,,,,
goro1270,Aux,Aux1,Aux2,Cop,?Cop,,,,,,,,,,,,,
goro1270,AuxCond,if,,,,,,,,,,,,,,,,
goro1270,AuxDep,AuxDep.1Pl,AuxDep1Pl,AuxDep.2Sg,AuxDep.3,AuxDep.?,AuxDep.F,CopDep,,,,,,,,,,
goro1270,AuxDep.1Sg,AuxVent,Vent,CopDep1Sg,,,,,,,,,,,,,,
goro1270,average.size,"average,size",,,,,,,,,,,,,,,,
goro1270,bad,bad\F,bad\M,evil,,,,,,,,,,,,,,
goro1270,be.able,be.able\?,be.abe,,,,,,,,,,,,,,,
goro1270,be.absent,be.absent\F,be.absent\F.Pres,be.absent\F.Pst,be.absent\M.Pres,,,,,,,,,,,,,
goro1270,be.dead\M.Pst,die\M,,,,,,,,,,,,,,,,
goro1270,be.full,be.full\M.?,,,,,,,,,,,,,,,,
goro1270,be.late,late\F,,,,,,,,,,,,,,,,
goro1270,be.present,be.present\1Sg.Pres,be.present\?,be.present\?.Pres,be.present\F.Pres,be.present\M.Pres,be.present\Pres,,,,,,,,,,,
goro1270,be.together,be.together\?,,,,,,,,,,,,,,,,
goro1270,beat,beat\M,hit\1SgPres,beat\SImprs.Pst,hit\M.Pst,hit\SImprs.Pst,,,,,,,,,,,,
goro1270,beautiful\F,blessed\F,holy\F,,,,,,,,,,,,,,,
goro1270,because,Reason,,,,,,,,,,,,,,,,
goro1270,before,first,in.front.of,front,front\LF,,,,,,,,,,,,,
goro1270,begin,begin\1Sg.Pst,begin\2Sg.Pst,start,start\Sg2.Pst,start\2Sg.Pst,,,,,,,,,,,,
goro1270,behind,behind\LF,rear,,,,,,,,,,,,,,,
goro1270,benevolent,benovolent,,,,,,,,,,,,,,,,
goro1270,big,big\F,big\M,,,,,,,,,,,,,,,
goro1270,black,black\?,black\F,black\M,black\LF,,,,,,,,,,,,,
goro1270,blow\1Sg.Pres,blow.off\1Sg.Pres,,,,,,,,,,,,,,,,
goro1270,boy,boy\LF,,,,,,,,,,,,,,,,
goro1270,bring,bring\1Sg.Subj,bring\SImprs.Pst,,,,,,,,,,,,,,,
goro1270,but,however,,,,,,,,,,,,,,,,
goro1270,call,call\?,tell\1Sg.Pst,tell\M.Pst,,,,,,,,,,,,,,
goro1270,catch,?catch\M.Pst,,,,,,,,,,,,,,,,
goro1270,cattle\LF,cows,cows\LF,,,,,,,,,,,,,,,
goro1270,chief,paramount.chief,,,,,,,,,,,,,,,,
goro1270,child,child\LF,,,,,,,,,,,,,,,,
goro1270,clothing,clothing\LF,,,,,,,,,,,,,,,,
goro1270,come.in,enter,,,,,,,,,,,,,,,,
goro1270,Concess,Conces,even,although,,,,,,,,,,,,,,
goro1270,Cond-,Cond,,,,,,,,,,,,,,,,
goro1270,CopAdj.F,CopAdjF,?CopF,CopF,,,,,,,,,,,,,,
goro1270,CopAdj.M,CopAdjM,?CopM,,,,,,,,,,,,,,,
goro1270,cut,cut\1Sg.Pres,cut\M.Pst,cut\SImprs.Pst,,,,,,,,,,,,,,
goro1270,day,day\LF,,,,,,,,,,,,,,,,
goro1270,deti.tree,deti.tree\LF,,,,,,,,,,,,,,,,
goro1270,difficult\F,hard\F,,,,,,,,,,,,,,,,
goro1270,"dig, uproot",pull.out\1Sg.Pres,pull.out\1Sg.Pst,,,,,,,,,,,,,,,
goro1270,divide,divide\?.Pst,,,,,,,,,,,,,,,,
goro1270,do\1Sg.Subj,?do\1Sg.Subj,,,,,,,,,,,,,,,,
goro1270,eat,eat.together,eat.together\M.Subj,eat.together\SImprs.Subj,eat\1Sg.Pst,eat\1Sg.Subj,eat\2.?,eat\?,eat\?Subj,eat\M.Pres,eat\M.Subj,eat\Subj.1Sg,,,,,,
goro1270,elder,old.men,,,,,,,,,,,,,,,,
goro1270,end,end\LF,,,,,,,,,,,,,,,,
goro1270,face,?face,,,,,,,,,,,,,,,,
goro1270,far,far\F,far\M,,,,,,,,,,,,,,,
goro1270,faraway.place,abroad?,,,,,,,,,,,,,,,,
goro1270,finish,finish\1Sg.Pst,finish\M.Pst,,,,,,,,,,,,,,,
goro1270,finish\2,finish\2.?,finish\2Sg,finish\2Sg.?,finish\2Sg.?Pst,finish\2Sg.Pst,,,,,,,,,,,,
