lang,gl,var1,var2,var3,var4,var5,var6
hoch1243,=kind.of,kind.of,,,,,
hoch1243,=NMLZ,NMLZ,,,,,
hoch1243,=OPT,OPT,,,,,
hoch1243,=POS.HOR,=POS.HOR(SBJ.3SG),POS.HOR,POS.HOR(SBJ.3SG),,,
hoch1243,=POS.NTL,=POS.NTL(SBJ.3SG),=POS.NTL\1E.A,POS.NTL,POS.NTL(SBJ.3SG),,
hoch1243,=POS.NTL:DIST,POS.NTL:DIST,,,,,
hoch1243,=POS.NTL:PROX,POS.NTL:PROX,,,,,
hoch1243,=POS.NTL.PL:DIST,POS.NTL.PL:DIST,,,,,
hoch1243,=POS.NTL.PL:PROX,POS.NTL.PL:PROX,,,,,
hoch1243,=POS.VERT,=POS.VERT(SBJ.3SG),=POS.VERT\1E.A,POS.VERT,,,
hoch1243,1&2-,-1&2-,,,,,
hoch1243,1&2EMPH,1EMPH,2EMPH,,,,
hoch1243,1E.A-,-1E.A-,,,,,
hoch1243,1E.U-,-1E.U-,1I.A-,-1I.A-,,,
hoch1243,2.A-,-2.A-,,,,,
hoch1243,2.U-,-2.U-,,,,,
hoch1243,accomplish,accomplish(OBJ.3SG),accomplish(SBJ.3SG&OBJ.3SG),accomplish(SBJ.3SG),,,
hoch1243,ache,ache(SBJ.3SG),,,,,
hoch1243,and,=and,,,,,
hoch1243,APPL.BEN-,-APPL.BEN-,,,,,
hoch1243,APPL.INST-,-APPL.INST-,,,,,
hoch1243,arrive.back.here,arrive.back.here(SBJ.3SG),,,,,
hoch1243,arrive.back.there,arrive.back.there(SBJ.3SG),,,,,
hoch1243,arrive.here,arrive.here(SBJ.3SG&OBJ.3SG),arrive.here(SBJ.3SG),,,,
hoch1243,arrive.there,arrive.there(SBJ.3SG),,,,,
hoch1243,ask,ask(SBJ.3SG&OBJ.3SG),,,,,
hoch1243,be,be(SBJ.3SG),,,,,
hoch1243,be.angry,be.angry(SBJ.3SG),,,,,
hoch1243,be.big,be.big(OBJ.3SG),be.big(SBJ.3SG),,,,
hoch1243,be.different,be.different(OBJ.3SG),be.different(SBJ.3SG),,,,
hoch1243,be.difficult,be.difficult(OBJ.3SG),,,,,
hoch1243,be.enjoyable,be.enjoyable(OBJ.3PL),be.enjoyable(OBJ.3SG),be.enjoyable(SBJ.3SG),,,
hoch1243,be.fast,be.fast(OBJ.3SG),,,,,
hoch1243,be.full,be.full(OBJ.3SG),,,,,
hoch1243,be.going.there,be.going.there(SBJ.3SG),,,,,
hoch1243,be.good,be.good(OBJ.3SG),be.good(SBJ.3SG),,,,
hoch1243,be.holy,be.holy(SBJ.3SG),,,,,
hoch1243,be.long,be.long(OBJ.3SG),,,,,
hoch1243,be.lost,be.lost(OBJ.3SG),be.lost(SBJ.3SG),,,,
hoch1243,be.related.to,have.kin,have.kin(SBJ.3SG&OBJ.3SG),have.kin(SBJ.3SG),,,
hoch1243,be.small,be.small(SBJ.3SG),,,,,
hoch1243,be.started,be.started(SBJ.3SG),,,,,
hoch1243,be.together,be.together(OBJ.3SG&OBJ.3SG),be.together(OBJ.3SG),be.together(SBJ.3SG&OBJ.3SG),be.together(SBJ.3SG),,
hoch1243,be.true,be.true(OBJ.3SG),,,,,
hoch1243,be.truthful,be.truthful(OBJ.3SG),be.truthful(SBJ.3SG),,,,
hoch1243,be.wrong,be.wrong(OBJ.3SG),,,,,
hoch1243,be/PROG,be/PROG(SBJ.3SG),,,,,
hoch1243,become,become(SBJ.3SG),,,,,
hoch1243,begin,begin(SBJ.3SG),,,,,
hoch1243,bite(OBJ.3SG),bite(SBJ.3SG&OBJ.3SG),,,,,
hoch1243,bring.together,bring.together(SBJ.3SG),,,,,
hoch1243,buy,buy(SBJ.3SG&OBJ.3SG),,,,,
hoch1243,call.out,call.out(SBJ.3SG&OBJ.3SG),call.out(SBJ.3SG),,,,
