lang,gl,var1,var2,var3
kama1351,-ADJZ,-ADJZ.[NOM.SG],,
kama1351,-DUR,-DUR.[3SG],,
kama1351,-DUR.PST,-DUR.PST.[3SG],,
kama1351,-IMP,-IMP.[3SG],,
kama1351,-IPFVZ,-IPFVZ.[3SG],,
kama1351,-LAT.ADV,-DAT.ADV,,
kama1351,-LOC.ADV,-LOCADV,-ADV.LOC,
kama1351,-PRS,-PRS.[3SG],,
kama1351,-PST,-PST.[3SG],-PST.[NOM.SG],
kama1351,-PTCP,-PTCP.[NOM.SG],,
kama1351,axe,axe.[NOM.SG],,
kama1351,bear,bear.[NOM.SG],,
kama1351,beautiful,beautiful.[NOM.SG],,
kama1351,berry,berry.[NOM.SG],,
kama1351,big,big.[NOM.SG],,
kama1351,black,black.[NOM.SG],,
kama1351,blade.bone,blade.bone.[NOM.SG],,
kama1351,blood,blood.[NOM.SG],,
kama1351,boot,boot.[NOM.SG],,
kama1351,boy,boy.[NOM.SG],son,son.[NOM.SG]
kama1351,bread,bread.[NOM.SG],,
kama1351,brother,brother.[NOM.SG],,
kama1351,bull,bull.[NOM.SG],,
kama1351,butter,butter.[NOM.SG],,
kama1351,cabbage,cabbage.[NOM.SG],,
kama1351,calf(babycow),calf.[NOM.SG],,
kama1351,cap,cap.[NOM.SG],,
kama1351,cauldron,cauldron.[NOM.SG],,
kama1351,chief,chief.[NOM.SG],,
kama1351,child,child.[NOM.SG],,
kama1351,clothing,clothing.[NOM.SG],,
kama1351,coal,coal.[NOM.SG],,
kama1351,corral,corral.[NOM.SG],,
kama1351,cow,cow.[NOM.SG],,
kama1351,cross,cross.[NOM.SG],,
kama1351,cup,cup.[NOM.SG],,
kama1351,cut,chop,,
kama1351,daughter,girl,girl.[NOM.SG],
kama1351,day,day.[NOM.SG],,
kama1351,dog,dog.[NOM.SG],,
kama1351,drawer,drawer.[NOM.SG],,
kama1351,egg,egg.[NOM.SG],,
kama1351,evening,evening.[NOM.SG],,
kama1351,eye,eye.[NOM.SG],,
kama1351,face,face.[NOM.SG],,
kama1351,fat,fat.[NOM.SG],,
kama1351,fire,fire.[NOM.SG],,
kama1351,fish,fish.[NOM.SG],,
kama1351,foot,foot.[NOM.SG],,
kama1351,four,four.[NOM.SG],,
kama1351,fox,fox.[NOM.SG],,
kama1351,fur.coat,fur.coat.[NOM.SG],,
kama1351,goat,goat.[NOM.SG],,
kama1351,God,God.[NOM.SG],,
kama1351,good,good.[NOM.SG],,
kama1351,grandmother,grandmother.[NOM.SG],,
kama1351,grass,grass.[NOM.SG],,
kama1351,gun,gun.[NOM.SG],,
kama1351,hair,hair.[NOM.SG],,
kama1351,half,half.[NOM.SG],half.[3SG],
kama1351,hand,hand.[3SG],,
kama1351,hard,hard.[NOM.SG],,
kama1351,head,head.[NOM.SG],,
kama1351,hole,hole.[NOM.SG],,
kama1351,horse,horse.[NOM.SG],,
kama1351,house,house.[NOM.SG],tent,tent.[NOM.SG]
kama1351,husband,husband.[NOM.SG],,
kama1351,I.NOM,I.GEN,I,
kama1351,I.ACC,I.LAT,,
kama1351,knife,knife.[NOM.SG],,
kama1351,know,know.[3SG],,
kama1351,Kodur,Kodur.[NOM.SG],,
kama1351,language,tongue,,
kama1351,let's,start.to,,
kama1351,lie,lie.down,,
kama1351,linen,linen.[NOM.SG],,
kama1351,long.time,long(time),,
kama1351,machine,machine.[NOM.SG],,
kama1351,Malanya,Malanya.[NOM.SG],,
kama1351,man,man.[NOM.SG],,
kama1351,mare,mare.[NOM.SG],,
kama1351,meat,meat.[NOM.SG],,
kama1351,milk,milk.[NOM.SG],,
kama1351,mill,mill.[NOM.SG],,
kama1351,mind,mind.[NOM.SG],,
kama1351,money,money.[NOM.SG],,
kama1351,mountain,mountain.[NOM.SG],,
kama1351,mouse,mouse.[NOM.SG],,
kama1351,mushroom,mushroom.[NOM.SG],,
kama1351,NEG.EX,NEG.EX.[3SG],,
kama1351,niece,niece.[NOM.SG],,
kama1351,nose,nose.[NOM.SG],,
kama1351,not,not.[NOM.SG],,
kama1351,one,one.[NOM.SG],single.[NOM.SG],
kama1351,pants,pants.[NOM.SG],,
kama1351,paper,paper.[NOM.SG],,
kama1351,people,people.[NOM.SG],people.[3SG],
kama1351,pine.nut,pine.nut.[NOM.SG],,
kama1351,pit,pit.[NOM.SG],,
kama1351,red,red.[NOM.SG],,
kama1351,relative,relative.[NOM.SG],,
kama1351,road,road.[NOM.SG],,
kama1351,s/he,s/he.[NOM.SG],s/he.[3SG],
kama1351,sack,sack.[NOM.SG],,
kama1351,salt,salt.[NOM.SG],,
kama1351,sauna,sauna.[NOM.SG],,
kama1351,self,own,,
kama1351,sheep,sheep.[NOM.SG],,
kama1351,shirt,shirt.[NOM.SG],,
kama1351,shit,shit.[NOM.SG],,
kama1351,sister,sister.[NOM.SG],,
kama1351,sit,sit.down,,
kama1351,small,small.[NOM.SG],,
kama1351,smoke,smoke.[NOM.SG],,
kama1351,soldier,soldier.[NOM.SG],,
kama1351,song,song.[NOM.SG],,
kama1351,spoon,spoon.[NOM.SG],,
kama1351,steppe,steppe.[NOM.SG],,
kama1351,stone,stone.[NOM.SG],,
kama1351,stove,stove.[NOM.SG],,
kama1351,sugar,sugar.[NOM.SG],,
kama1351,sun,sun.[NOM.SG],,
kama1351,table,table.[NOM.SG],,
kama1351,taiga,taiga.[NOM.SG],,
kama1351,that,that.[NOM.SG],,
kama1351,this,this.[NOM.SG],,
kama1351,three,three.[NOM.SG],,
kama1351,town,town.[NOM.SG],,
kama1351,tree,tree.[NOM.SG],wood,wood.[NOM.SG]
kama1351,turnip,turnip.[NOM.SG],,
kama1351,two,two.[NOM.SG],,
kama1351,vodka,vodka.[NOM.SG],vodka.[3SG],
kama1351,war,war.[NOM.SG],,
kama1351,warm,warm.[NOM.SG],,
kama1351,water,water.[NOM.SG],,
kama1351,we.ACC,we.LAT,,
kama1351,we.GEN,we.NOM,,
kama1351,what,what.[NOM.SG],what.[3SG],
kama1351,what.kind,what.kind.[NOM.SG],,
kama1351,whip,whip.[NOM.SG],,
kama1351,white,white.[NOM.SG],,
