lang,gl,var1,var2,var3,var4,var5,var6,var7
movi1243,-2PL,2PL,,,,,,
movi1243,-ABS,ABSL,,,,,,
movi1243,-acquire,acquire,,,,,,
movi1243,-AG,NMLZ.AGT,,,,,,
movi1243,-AGT,AGT,,,,,,
movi1243,-APPL,APPL,,,,,,
movi1243,-APPL2,APPL2,,,,,,
movi1243,-BDP,BDP,-BP,-mouth,mouth,,,
movi1243,-BE.clothes,CLF:clothes,,,,,,
movi1243,-BE.earth,-ground,,,,,,
movi1243,-BE.inside,-CL:inside,BE.inside,BE.inside-,,,,
movi1243,-BE.liquid,-BE.water,BE.water,-CL:liquid,CLF.liquid,,,
movi1243,-BE.NTR,-BE.ntr,CLF.NTR,CLF:NTR,,,,
movi1243,-BE.person,-CL:person,CLF.person,,,,,
movi1243,-BE.place,-CL.place,CLF.place,,,,,
movi1243,-BEN,BEN,,,,,,
movi1243,-CAUS,CAUS,,,,,,
movi1243,-CL:animal,CLF.animal,,,,,,
movi1243,-CL:bag,-CLF.bag,,,,,,
movi1243,-CL:pole/tree/wood,CLF.pole/tree/wood,,,,,,
movi1243,-CL.seed,-seed,,,,,,
movi1243,-CL.water,-CL:water,,,,,,
movi1243,-DR,DR,-DR-,,,,,
movi1243,-IMP.intr,IMP.INTR,,,,,,
movi1243,-IMP.TR,-IMP.tr,,,,,,
movi1243,-INV,INV,,,,,,
movi1243,-IRR,-IRR-,,,,,,
movi1243,-LN,LINK,,,,,,
movi1243,-LV,-EP,EP,,,,,
movi1243,-MD~-,-MID~-,,,,,,
movi1243,-MLT,-MLT-,,,,,,
movi1243,-NMZ,NMLZ.DYN,NMLZ.EVT,NMLZ,,,,
movi1243,-NMZ.LOC,NMLZ.LOC,-NMZ.REAS,NMZ.REAS,,,,
movi1243,-PRC,PRC,,,,,,
movi1243,-R/R,REFL/RECP,,,,,,
movi1243,-time,CLF.time,,,,,,
movi1243,-VBZ,VBLZ,,,,,,
movi1243,#1pl,=1pl,1PL.EXCL,,,,,
movi1243,#3F,#3f,=3f,,,,,
movi1243,#3F.AB,=3F.AB,#3f.a,=3f.a,,,,
movi1243,#3M,3M,,,,,,
movi1243,#3M.AB,=3M.AB,=3m.ab,#3m.a,=3m.a,#3M.ABSN,3M.ABSN,
movi1243,#3N,#3n,=3N,=3n,3N,,,
