lang,gl,var1,var2,var3,var4,var5
ngal1292,-2sg.POSS,-2sgPOSS,,,,
ngal1292,-3sg.POSS,-3sgPOSS,,,,
ngal1292,-LOC,LOC-,,,,
ngal1292,1sg-,1sg>2-,1sg>3-,1sg>3sg-,,
ngal1292,2sg-,1sg>2sg-,3sg>2sg-,,,
ngal1292,2sg>1-,2sg>1sg-,,,,
ngal1292,2sg>3-,2sg>3sg-,,,,
ngal1292,3du>3-,3du>3sg-,,,,
ngal1292,3pl>3-,3pl>3sg-,,,,
ngal1292,3sg-,3>3-,3sg>3-,3sg>3sg-,3sg>1-,3sg>1sg-
ngal1292,3sg[root],3sg=,,,,
ngal1292,a.bit,little.bit,,,,
ngal1292,all.the.time,always,,,,
ngal1292,bark,bark?,,,,
ngal1292,be.full,full,,,,
ngal1292,come.back,return,,,,
ngal1292,D.here,here,,,,
ngal1292,D.there,there,,,,
ngal1292,DEM,D.ID,,,,
ngal1292,DEM(Kriol),that,,,,
ngal1292,different,other,,,,
ngal1292,dog,jackal,,,,
ngal1292,face.side,side,face,,,
ngal1292,feeling,feelings,,,,
ngal1292,fight,growl,,,,
ngal1292,first,firstly,,,,
ngal1292,flower.species,flower.speciers,,,,
ngal1292,fright,frighten,,,,
ngal1292,game/meat,meat/game,,,,
ngal1292,have,hold,,,,
ngal1292,ideas,mind,,,,
ngal1292,INTERJ,INTJ,mhmh,mm,mmm,INTJ.approb
ngal1292,INTJ.finished,well,,,,
ngal1292,knee,knee?,,,,
ngal1292,lie:PR,lie.down:PR,,,,
ngal1292,lie.down,lie.down:PP,,,,
ngal1292,man,person,,,,
ngal1292,maybe,maye,,,,
ngal1292,night,night*,,,,
ngal1292,none,nothing,,,,
ngal1292,nose,nostril,,,,
ngal1292,now,mow,,,,
ngal1292,R-,-R,,,,
ngal1292,say/do,say.do,say,,,
ngal1292,say/do:PR,say:PR,,,,
ngal1292,show.compassion,show.compassion?,,,,
ngal1292,sit:PR,sit/be:PR,,,,
ngal1292,snake/creature,snake,,,,
ngal1292,tourist,tourists,,,,
ngal1292,whatsit,whatyucallit,,,,
ngal1292,yeah,yes,Yeah,,,
