lang,gl,var1,var2,var3,var4,var5,var6,var7
nisv1234,1EXCL=,1EXCLU=,,,,,,
nisv1234,1INCL,-1INCL,,,,,,
nisv1234,1INCL.DU,-1INCL.DU,,,,,,
nisv1234,1SG-,1SG=,,,,,,
nisv1234,2PL.DU,2PLDU,,,,,,
nisv1234,2SG.ASP.EC,2SG.ASP.EC=,,,,,,
nisv1234,3PL.ASP.EC,3PL.ASP.EC=,,,,,,
nisv1234,3PL.DU,3PLDU,3PL.DU=,-3PL.DU,,,,
nisv1234,3PL=,3PL,-3PL,,,,,
nisv1234,3SG.ASP.EC=,3SG.ASP.EC,3SG.ASP.EC-,,,,,
nisv1234,3SG=,3S=,3SG-,,,,,
nisv1234,accoucher,enfanter,,,,,,
nisv1234,aller,Aller,alle=,continuer,marcher,partir,s'en_aller,
nisv1234,allonger,être_étendu,,,,,,
nisv1234,arbre,bois,branche,bâton,morceau_de_bois,,,
nisv1234,arbre_a_pain,papaye,papayer,,,,,
nisv1234,ART.P,ART.P=,,,,,,
nisv1234,ASP.C,ASP.CO,,,,,,
nisv1234,asseoir,assoir,s'asseoir,être_assis,rasseoir,rester_assis,se_poser,
nisv1234,attacher,accrocher,s'attacher,,,,,
nisv1234,aujourd'hui,aujourd_hui,,,,,,
nisv1234,autour,entourer,entouré,,,,,
nisv1234,autrefois,en_premier,en_tête,être_premier,,,,
nisv1234,banane,bananes,,,,,,
nisv1234,bien,bon,èetre_bien,être_bien,être_bon,,,
nisv1234,bras,main,,,,,,
nisv1234,cacher,se_cacher,,,,,,
nisv1234,chanter,crier,,,,,,
nisv1234,chemin,chemin_important,chemin_principal,chemin_proche_des_maisons,chemin_proche_du_village,grand_chemin,passage,passage_proche_du_village
nisv1234,cigale,INSECTE,,,,,,
nisv1234,coco,cocotier,noix_de_coco,,,,,
nisv1234,comme,être_comme,être_pareil,Comme,,,,
nisv1234,COO.NM,avec,,,,,,
nisv1234,COO.OP,COOP.OP,,,,,,
nisv1234,COO.TMP,ensuite,,,,,,
nisv1234,COO.VB,COO.Vb,COO.VB=,,,,,
nisv1234,COO.VB.ASP.EC,COO.ASP.EC,,,,,,
nisv1234,corde,cordre,,,,,,
nisv1234,côté,coté,,,,,,
nisv1234,couper,trancher,,,,,,
nisv1234,courir,accourir,approcher_rapidement,courir=,conduire,,,
nisv1234,creuser,déterrer,,,,,,
nisv1234,cuire,cuit,,,,,,
nisv1234,cuisiner_un_laplap,faire_du_laplap,faire_laplap,faire_le_laplap,,,,
nisv1234,danser,dancer,,,,,,
nisv1234,debout,rester_debout,tenir_debout,être_debout,se_tenir_debout,tenir_devant,,
nisv1234,DEF,COO.DEF,INDEF,REF,-INDEF,,,
nisv1234,DEI.E,LOC.DEI.E,,,,,,
nisv1234,DEI.LOC.E,PRO.DEI.E,,,,,,
nisv1234,DEI.LOC.R,DEI.LOC,LOC.DEI.R,,,,,
nisv1234,DEI.P,DEI.p,PRO.DEI.P,-DEI.P,=DEI.P,,,
nisv1234,démon,ogre,esprit,,,,,
nisv1234,descendre,descencre,,,,,,
nisv1234,deux,être_deux,,,,,,
nisv1234,devenir,se_transformer,transformer,,,,,
nisv1234,dévoiler,révéler,,,,,,
nisv1234,DIR,DIR=,=DIR,,,,,
nisv1234,dire,dit,discuter,,,,,
nisv1234,dormir,dourmir,s'endormir,s'allonger,être_allongé,,,
nisv1234,emporter,porter,,,,,,
nisv1234,en_bas,e_bas,,,,,,
nisv1234,en_haut,haut,,,,,,
nisv1234,en_vain,ne_pas_en_avoir,ne_rien_avoir,ne_rien_trouver,vainement,être_en_vain,être_rien,
nisv1234,enfant,enfent,,,,,,
nisv1234,entendre,entrendre,écoute,écouter,sentir,ressentir,faire_attention,
nisv1234,entraille,entrailles,,,,,,
nisv1234,être,etre,se_trouver,être_présent,être_là,se_trouver_là,être=,
nisv1234,être_acéré,être_aiguiser,être_aiguisé,,,,,
nisv1234,être_cuit,être_cuît,,,,,,
nisv1234,être_en_crû,être_en_crue,,,,,,
nisv1234,être_en_fleur,être_en_fruits,,,,,,
nisv1234,être_grand,être_gros,,,,,,
nisv1234,être_mal,être_en_colère,,,,,,
