lang,gl,var1,var2,var3,var4,var5
nngg1234,-LOAN.SG,-SGLT,-LOAN,,,
nngg1234,-NMLZ,-NOM,,,,
nngg1234,?be.able,?can?,,,,
nngg1234,?other.one,other.one?,,,,
nngg1234,?seem,?appear,,,,
nngg1234,1PL.E.DAT,1PL.E.?,,,,
nngg1234,1PL.I.?,1PL.I.DAT,1PL,,,
nngg1234,1SG,1SG.DAT,1SG.?,,,
nngg1234,2SG,2SG.DAT,,,,
nngg1234,2SG.Q,2SG.STR,,,,
nngg1234,3H.SG,3H.SG.DAT,3SG.DAT,3H.SG.?,3H.SG:?,3H.SG:DAT
nngg1234,3NH,3NH.SG,,,,
nngg1234,3SG.OBL,OBL.3SG.OBL,OBL.3SG.STR,,,
nngg1234,adolescent.girl,girl,,,,
nngg1234,afraid,be.afraid,tremble,,,
nngg1234,ah,Oh!,,,,
nngg1234,be.full.of.food,full.of.food,,,,
nngg1234,be.how,be.where,do.how,,,
nngg1234,be.long,be.tall,,,,
nngg1234,beat,hit,,,,
nngg1234,berry,berry.bush,,,,
nngg1234,bump,bump.with.head,,,,
nngg1234,carry.on.shoulder,carry.in.arms,,,,
nngg1234,certainly,sure,,,,
nngg1234,come,come.IMP,arrive,,,
nngg1234,die,dead,,,,
nngg1234,fall.off,fall.down,,,,
nngg1234,fill,be.full,fill?,,,
nngg1234,finished,ready,,,,
nngg1234,ghost,devil,,,,
nngg1234,go,go.away,go.to,,,
nngg1234,go.down,get.down,come.down,climb.down,,
nngg1234,go.in,put.in,enter,,,
nngg1234,go.past,go.along,,,,
nngg1234,go.there,over.there,,,,
nngg1234,grow,become.big,,,,
nngg1234,jog,trott,,,,
nngg1234,letter,book,,,,
nngg1234,make,do,,,,
nngg1234,man,male,,,,
nngg1234,mouth,opening,,,,
nngg1234,oh,ooh,,,,
nngg1234,PL-,PL,,,,
nngg1234,play.music,play.intrument,,,,
nngg1234,put.on,dress,,,,
nngg1234,ride,drive,,,,
nngg1234,say,QUOT,,,,
nngg1234,see,see.IMP,,,,
nngg1234,sew,stab,,,,
nngg1234,shoe,put.on.shoes,,,,
nngg1234,speak.Nǀuu,Nǀuu.language,,,,
nngg1234,stand.up,get.up,,,,
nngg1234,stone,road,rock,,,
nngg1234,strap,rope,,,,
nngg1234,take,catch,fetch,,,
nngg1234,take.off,take.out,,,,
nngg1234,take.up,move.up,,,,
nngg1234,that,3NH:REF,DEM,3NH.SG.?,3NH:?,
nngg1234,that.place,there,,,,
nngg1234,things,Sthings,,,,
nngg1234,tree,camelthorn.tree,,,,
nngg1234,trek,move.place,,,,
nngg1234,when,as,,,,
