lang,gl,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13
nort2641,-2SG,-2SG[IMP],,,,,,,,,,,,
nort2641,-3SG,-3SG[IMP],,,,,,,,,,,,
nort2641,-EZ,-EZ.F,-EZ.M,-EZ.PL,EZ-,,,,,,,,,
nort2641,-IND,IND-,,,,,,,,,,,,
nort2641,-INDF,-INDEF,,,,,,,,,,,,
nort2641,-OBL,-OBL.F,-OBL.F.SG,-OBL.M,-OBL.F.,,,,,,,,,
nort2641,-PL,-1PL,-2PL,-3PL,3PL-,,,,,,,,,
nort2641,-PL.OBL,-OBL.PL,,,,,,,,,,,,
nort2641,=COP.2SG,COP.2SG=,,,,,,,,,,,,
nort2641,=COP.3SG,=IND.COP.PRS.3SG,COP.3SG=,,,,,,,,,,,
nort2641,=FUT,FUT=,,,,,,,,,,,,
nort2641,1SG,1sg,,,,,,,,,,,,
nort2641,3SG.OBL,3SG.OBL.M,3SG.OBL.F,DEM.OBL.F,that.OBL,it,,,,,,,,
nort2641,a.while,for.a.while,,,,,,,,,,,,
nort2641,again,other.time,,,,,,,,,,,,
nort2641,agreement,condition,,,,,,,,,,,,
nort2641,also,too,,,,,,,,,,,,
nort2641,among,around,between,middle,middle.of,midst,center,,,,,,,
nort2641,at,in,,,,,,,,,,,,
nort2641,bad,corruption,,,,,,,,,,,,
nort2641,be.PRS.3SG,SUBJ.COP.PRS.3SG,SUBJ.be.PRS.3SG,SUBJ.be.3SG,,,,,,,,,,
nort2641,beat.PRS,thrash.PRS,,,,,,,,,,,,
nort2641,beautiful,handsome,,,,,,,,,,,,
nort2641,before,earlier,earlier_times,,,,,,,,,,,
nort2641,boat,dinghy,to.dinghy,,,,,,,,,,,
nort2641,bottom,under,,,,,,,,,,,,
nort2641,boy,grown_up,young_men,young_man,youth,youths,,,,,,,,
nort2641,bread,food,,,,,,,,,,,,
nort2641,bring.PRS,carry.PRS,bring,,,,,,,,,,,
nort2641,bring.PST,bring.PST.3SG,brought.PST,,,,,,,,,,,
nort2641,business,alûvêr,,,,,,,,,,,,
nort2641,buy,buy.PRS,,,,,,,,,,,,
nort2641,by_God,by.God,welle,by_god,,,,,,,,,,
nort2641,calling,call,,,,,,,,,,,,
nort2641,camel,camel.EZ,camel.PL.OBL,,,,,,,,,,,
nort2641,child,children,,,,,,,,,,,,
nort2641,clean,cleaning,,,,,,,,,,,,
nort2641,come.on,hela,let_us,,,,,,,,,,,
