lang,gl,var1,var2,var3,var4
port1286,1SG.poss,-1SG.poss,-1s.poss,,
port1286,2SG,2SG.,,,
port1286,3d,both,,,
port1286,3p.dem,3p.dem.pron,,,
port1286,3s.with,he.and,,,
port1286,afternoon,evening,,,
port1286,bake,ake,,,
port1286,big,-big,,,
port1286,call,ccall,,,
port1286,come,-come,,,
port1286,comp.rel,comp.re,,,
port1286,complete,finished,,,
port1286,father,father-,,,
port1286,give.through,gigive.through,,,
port1286,go,continue,ccontinue,,
port1286,head,ead,,,
port1286,history,hhistory,,,
port1286,home,village,,,
port1286,kill,beat,,,
port1286,know,knknow,,,
port1286,like,want,,,
port1286,loc,in,,,
port1286,look,look.after,,,
port1286,make,mmake,,,
port1286,man,mman,high.man,husband,God
port1286,narrate,arrate,,,
port1286,one,indef,,,
port1286,pl,3.pl,,,
port1286,place,shore,,,
port1286,prep,of,,,
port1286,say,ssay,,,
port1286,see,ssee,find,,
port1286,sit.down,ssit.down,,,
port1286,stay,stay.sg,-stay,prog.sg,
port1286,stay.pl,prog.pl,,,
port1286,take,ttake,,,
port1286,this.sg,prx.sg,,,
port1286,tr,-tr,,,
port1286,tree,tree-,,,
port1286,woman,wife,fe,,
port1286,work,wowork,wwork,,
