lang,gl,var1,var2,var3
ruul1235,7,-7,,
ruul1235,8,-8,,
ruul1235,10,-10,,
ruul1235,-APPL,-APPl,,
ruul1235,=ADD.FOC,ADD.FOC=,,
ruul1235,1,-1,,
ruul1235,1.cow,10.cow,,
ruul1235,1.elderly_person,1.parent,,
ruul1235,1.GEN=,1.GEN-,1.GEN,
ruul1235,1.girl,1.daughter,,
ruul1235,1.Kabongera,1.Kabongeraa,,
ruul1235,1.mother,1.mam,,
ruul1235,1.POSS,1POSS,,
ruul1235,1.tortoise,10.tortoise,,
ruul1235,1.wife,1.woman,,
ruul1235,10-,10O-,10S-,
ruul1235,10.money,9.money,,
ruul1235,10.time,9.time,,
ruul1235,11-,11O-,11S-,
ruul1235,12-,12O-,12S-,
ruul1235,14-,14O-,14S-,
ruul1235,14.Buruuli_region,14.Buruuli_land,,
ruul1235,15-,15S-,,
ruul1235,16-,16S-,16.LOC,
ruul1235,17.LOC,=17.LOC,,
ruul1235,18.LOC,=18.LOC,,
ruul1235,1pl-,1plS-,1plO-,
ruul1235,1sg,-1sg,,
ruul1235,1sg-,1sgO-,1sgS-,
ruul1235,1sgS,-1sgS,,
ruul1235,2,-2,,
ruul1235,2-,2O-,2S-,
ruul1235,2.elderly_person,2.parent,,
ruul1235,2.person,2.man,,
ruul1235,2.Ruuli_person,2.Baruuli,,
ruul1235,2sg,-2sg,,
ruul1235,2sgS-,2sg-,2sgS,
ruul1235,3-,3O-,3S-,
ruul1235,4-,4O-,4S-,
ruul1235,5-,5O-,5S-,
ruul1235,6-,6O-,6S-,
ruul1235,6.power,6.strength,,
ruul1235,7-,7O-,7S-,
ruul1235,8-,8O-,8S-,
ruul1235,8.issue,8.word,,
ruul1235,9-,9S-,,
ruul1235,9.issue,9.reason,,
ruul1235,9.Nakasongola,1.Nakasongola,,
ruul1235,add,increase,,
ruul1235,as,when,,
ruul1235,be_over,be.over,,
ruul1235,broadcast,serve,,
ruul1235,can,be_able,,
ruul1235,care_for,look_after,take_care_of,
ruul1235,catch,arrest,,
ruul1235,come,arrive,go,return
ruul1235,correct,true,,
ruul1235,do,make,work,
ruul1235,do:PFV,work:PFV,,
ruul1235,get_ill,fall.ill,,
ruul1235,give_birth,give_birth_to,,
ruul1235,go_away,leave,let,
ruul1235,go_past,pass,,
ruul1235,grow:PFV,grow_old:PFV,,
ruul1235,have,have_to,,
ruul1235,hear,listen,feel,
ruul1235,hear:APPL,listen:APPL,,
ruul1235,hit,beat,,
ruul1235,hundred,one_hundred,,
ruul1235,indeed,right,,
ruul1235,INTERJ,okay,,
ruul1235,like,love,need,want
ruul1235,live,reside,stay,
ruul1235,look_at,look,take.care.of,
ruul1235,marry,get_a_wife,,
ruul1235,my_dear,oh_dear,,
ruul1235,NAR-,NAR=,NAR,
ruul1235,NEG-,NEG,,
ruul1235,or,whether,,
ruul1235,pray,request,,
ruul1235,resemble,be_like,,
ruul1235,such,like_that,like_this,
ruul1235,thousand,one_thousand,,
ruul1235,turn_into,turn_iinto,,
ruul1235,until,till,untill,
