lang,gl,var1,var2
sanz1248,=PRT,=but,
sanz1248,1/2PL-,-1/2PL,
sanz1248,ABL-,-ABL,
sanz1248,after,behind,
sanz1248,ANTE-,-ANTE,
sanz1248,at.all[R],at.all,
sanz1248,back[R],again[R],
sanz1248,bad,evil,
sanz1248,be.IPFV,become.IPFV,
sanz1248,be.PFV,become.PFV,
sanz1248,because.of,therefore,
sanz1248,break.PFV,mill.PFV,
sanz1248,cry,shout,call
sanz1248,dinner,in.the.evening,
sanz1248,down-,-down,
sanz1248,drink.PFV,smoke.PFV,
sanz1248,F-,-F,
sanz1248,HPL-,-HPL,
sanz1248,language,word,
sanz1248,learn.PFV,read.PFV,
sanz1248,let's[R],let's,
sanz1248,M-,-M,
sanz1248,N-,-N,
sanz1248,NEG,neg,
sanz1248,NPL-,-NPL,
sanz1248,or,neither,
sanz1248,quiet,slow,
sanz1248,take.PFV,buy.PFV,
sanz1248,thing,something,
sanz1248,topographical.survey[R],topographical.survey,
sanz1248,turn.IPFV,mill.IPFV,
sanz1248,upwards-,-upwards,
