lang,gl,var1,var2,var3,var4,var5,var6
savo1255,-PST.IPFV,-PST.IPRF,,,,,
savo1255,-PST.IPFV,-PST.PFV,,,,,
savo1255,=1NSG.IN.NOM,=EMPH.1NSG.IN,,,,,
savo1255,=1SG.NOM,=EMPH.1SG,,,,,
savo1255,Bouillon,B.,,,,,
savo1255,Demele,D.,,,,,
savo1255,adequate,be.fit.for,,,,,
savo1255,all,how.many/however.many/all,,,,,
savo1255,also,also/again,,,,,
savo1255,who,who/everyone/anyone,,,,,
savo1255,anything,what/something/anything/everything,,,,,
savo1255,arm,arm/hand,,,,,
savo1255,back,be.behind,,,,,
savo1255,be.how,how,,,,,
savo1255,be.like.this,be.thus,do,do.tr,say,want.to.do,want.to.do/say/be.like.this
savo1255,be.sad,sorry,,,,,
savo1255,day,time,time/day,,,,
savo1255,different,somewhere.else,,,,,
savo1255,divide,seperate,,,,,
savo1255,father/pat.uncle,father/pat.uncle/priest/someone.dear,,,,,
savo1255,fishing.bamboo,rod,,,,,
savo1255,grandparent/child,gen.2,,,,,
savo1255,ghost,god,,,,,
savo1255,give.an.order,order,,,,,
savo1255,go.down.for,move.down,,,,,
savo1255,with,with/to,,,,,
savo1255,homestead,village,village/homestead,,,,
savo1255,in/inside,inside,,,,,
savo1255,word,speech,language/word/speech,,,,
savo1255,man,man/husband,,,,,
savo1255,mother,mother/aunt,,,,,
savo1255,mouth,mouth/beak,,,,,
savo1255,move.bushwards,take.bushwards,,,,,
savo1255,some,one/some,,,,,
savo1255,own,own.sth,,,,,
savo1255,portion,serving,,,,,
savo1255,remain,remain/do.always,,,,,
savo1255,say/tell,tell,,,,,
savo1255,side,side/closeby.area,,,,,
savo1255,spoken.words,talk,,,,,
savo1255,stay,stay/BG.IPFV,stay.BG.IPFV/BG.IPFV,,,,
savo1255,stone,stone/seed,,,,,
savo1255,thing,story/thing,,,,,
savo1255,string,vine,,,,,
savo1255,think,think/feel,,,,,
savo1255,turn.around,turn.tr,,,,,
