lang,gl,var1,var2,var3,var4,var5,var6
sout2856,-3SG.DP,3SG.DP,,,,,
sout2856,-3SG.OBL,-3S.OBL,3S.OBL,it; 3S.OBL,,,
sout2856,-NMLZ,NMLZ,,,,,
sout2856,-V,V,,,,,
sout2856,1D.inc.RS=,1d.incRS=,,,,,
sout2856,1PL.inc.IRS=,1P.incRS=,,,,,
sout2856,1PL.inc.RS=,1PL.inc.RS,,,,,
sout2856,1PL.POSS,1plPOS,,,,,
sout2856,1SG,1S,,,,,
sout2856,1SG.IRS=,1SG.IRS,,,,,
sout2856,1SG.PS=,1SG.PS,,,,,
sout2856,2PL.IRS=,2P.IRS=,,,,,
sout2856,2SG,2S,,,,,
sout2856,2SG.RS=,2SG.RS,,,,,
sout2856,3SG,3S,,,,,
sout2856,3SG.IRS=,3S.IRR=,,,,,
sout2856,3SG.PS=,3SG.PS,,,,,
sout2856,above,high,,,,,
sout2856,accompany,be with,,,,,
sout2856,ancestors,old people,,,,,
sout2856,anything,everything,,,,,
sout2856,appear,arrive,,,,,
sout2856,appointment,date,,,,,
sout2856,as,"as, then",then,,,,
sout2856,as_for,as for,for,,,,
sout2856,ascend,increase,,,,,
sout2856,away,distant,far,,,,
sout2856,be at,be_at,,,,,
sout2856,be like,like,,,,,
sout2856,be straight,straight,,,,,
sout2856,be strong,hard,strong,,,,
sout2856,because,reason; because,,,,,
sout2856,blow,shoot,,,,,
sout2856,call_out,call out,,,,,
sout2856,chicken,fowl,of.chicken,,,,
sout2856,cook:BI,cook,,,,,
sout2856,D.IRS=,3D.IRS=,1D.IRS=,2D.IRS=,,,
sout2856,D.RS=,3D.RS=,1D.RS=,2D.RS=,,,
sout2856,day,days,,,,,
sout2856,DET,DET-,,,,,
sout2856,discover,find,,,,,
sout2856,drift,swing,float,flow,,,
sout2856,eat:IR,eat.IR,,,,,
sout2856,equal,same,,,,,
sout2856,feel,hear,smell,,,,
sout2856,female,woman,wife,,,,
sout2856,first:IR,first.IR,,,,,
sout2856,fully,-fully,,,,,
sout2856,go,drive,,,,,
sout2856,go along,go_along,along,,,,
sout2856,go_for:IR,go_towards:IR,,,,,
sout2856,go_to,go.to,go to,,,,
sout2856,go_to:IR,go to.IR,,,,,
sout2856,go:IR,go.IR,,,,,
sout2856,HAB,HABIT,,,,,
sout2856,hey,E,e,eh?,ah,,
sout2856,hill,mountain,,,,,
sout2856,lead:IR,lead.IR,,,,,
sout2856,LOC-,LOC,,,,,
sout2856,look_at,look at,,,,,
sout2856,look_for,look for,,,,,
sout2856,make.good,make good,,,,,
sout2856,NEG,not,,,,,
sout2856,not_have,not have,,,,,
sout2856,not_want,not want,,,,,
sout2856,oh,PART,O,,,,
sout2856,okay,okay:BI,OK; then,,,,
sout2856,other,next,,,,,
sout2856,p.name,propername,placename,Efate,Eratap,Pango,Sailas
sout2856,PF,PERF,,,,,
sout2856,PSP.IR,PSP:IR,,,,,
sout2856,REFL,RECP,,,,,
sout2856,sea; beach,sea,,,,,
sout2856,similar,like.that,,,,,
sout2856,stand_up,stand up,,,,,
sout2856,talk,ntalk,chat,,,,
sout2856,talk_to,talk to,,,,,
sout2856,tell.truth,tell truth,,,,,
sout2856,testicle,testicles,,,,,
sout2856,that's_it,that's it,,,,,
sout2856,think.bad,thinkbad,,,,,
sout2856,tree,wood; tree,,,,,
sout2856,trunk,stem; trunk,,,,,
sout2856,wash,swim,,,,,
sout2856,yam,yam sp.,yam_sp.,,,,
