lang,gl,var1,var2,var3
sumi1235,-DEF,=DEF,,
sumi1235,-EMPH,=EMPH,,
sumi1235,=even.though,-even.though,,
sumi1235,=NZR?,-NZR?,,
sumi1235,=PL,=group,,
sumi1235,1PL-,1PL=,1PL.POS-,
sumi1235,1SG-,1SG=,1SG.POS-,1SG.POSS-
sumi1235,3SG,3SG=,3SG-,3SG.POS-
sumi1235,assign.blame?,assign.responsibility,,
sumi1235,baby,young.girl,,
sumi1235,because,for,,
sumi1235,CONT,-CONT,,
sumi1235,correct,truth,,
sumi1235,eat,fodder,,
sumi1235,get.up,wake.up,,
sumi1235,HAB,-HAB,,
sumi1235,hit,kill,,
sumi1235,hold,hold.with.hand,,
sumi1235,language,word,,
sumi1235,look.after,look.at,,
sumi1235,NZP-,-NZP-,,
sumi1235,only,EXIST.only,,
sumi1235,pour,spill,,
sumi1235,PRX,PRX=,,
