lang,gl,var1,var2,var3,var4,var5,var6,var7,var8
taba1259,-ABSTR,-ABSTR(ABS),-ABSTR(IN),,,,,,
taba1259,-AOR,-AOR+Q,,,,,,,
taba1259,-APUD,APUD-,,,,,,,
taba1259,-CONT,CONT-,,,,,,,
taba1259,-DIR,-DIR(IN),,,,,,,
taba1259,-ELAT,-ELAT(IN),ELAT-,,,,,,
taba1259,-FUT,-FUT(PTCP),-FUT.PTCP,,,,,,
taba1259,-HSG,-HSG-,-HSG(ABS),-HSG(ERG),,,,,
taba1259,-INTER,INTER-,,,,,,,
taba1259,-IPFV,-IPFV.PTCP,,,,,,,
taba1259,-LAT,-LAT(IN),,,,,,,
taba1259,-LOC.ADV,-LOC.ADV(IN),,,,,,,
taba1259,-MASD,-MSD,,,,,,,
taba1259,-N,-N(ABS),-NSG,-NSG(ABS),-NSG-,-N-,NSG-,NSG(ABS)-,N-
taba1259,-NEG,-NEG(PRS),-PRS.NEG,-PRS:NEG,NEG-,,,,
taba1259,-PL,-PL(ABS),-ABS(PL),-PL(ERG),-IMP.PL,-PL(IN),-PL-,PL-,
taba1259,-POST,POST-,,,,,,,
taba1259,-PROH,-PROH(HSG),,,,,,,
taba1259,-PTCP,-PFV.PTCP,,,,,,,
taba1259,-SUPER,SUPER-,be(SUPER),,,,,,
taba1259,=1PL(INCL),=1PL(INCL):AG,,,,,,,
taba1259,=1SG,=1SG:PAT,,,,,,,
taba1259,=2SG,=2SG:PAT,,,,,,,
taba1259,3.P,3P,,,,,,,
taba1259,3.P(ABS),3.P(ATTR),,,,,,,
taba1259,ADV(DIST),DIST(ADV)-,,,,,,,
taba1259,all,all(ABS),,,,,,,
taba1259,anger(ABS),evil(ABS),,,,,,,
taba1259,astonishment,miracle(ABS),,,,,,,
taba1259,Bachan,Bachan(ABS),,,,,,,
taba1259,bad,wrong,,,,,,,
taba1259,be,be(IN),be(IN):PRS,,,,,,
taba1259,be:NEG,be.NEG,be.PRS:NEG,,,,,,
taba1259,become,become(FUT),become(HSG),become(PL),become(PTCP),become.PRS,become:PRS,,
taba1259,before,in_front,in_front_of,,,,,,
taba1259,belly,belly(IN),,,,,,,
taba1259,belt(ABS),silver_belt(ABS),,,,,,,
taba1259,boil,burn,,,,,,,
taba1259,boy,boy(ABS),boy(ERG),,,,,,
taba1259,bread,bread(ABS),bring(IMP),bring(HSG),carry,carry(PL),,,
taba1259,brother,brother(ABS),brother(ERG),,,,,,
taba1259,call,call(ABS),sound(ABS),,,,,,
taba1259,cattle,cattle(ABS),,,,,,,
taba1259,close,close(NSG),,,,,,,
taba1259,clothes(ABS),dress(ABS),,,,,,,
taba1259,COP,COP(PRS),,,,,,,
