lang,gl,var1,var2,var3,var4,var5,var6,var7,var8
teop1238,=DEM1,DEM1,,,,,,,
teop1238,1PL.IN.IPFV,1PL.IN.IPFV=,=1PL.IN.IPFV,,,,,,
teop1238,1PL.IN.PRON,1PL:IN.PRON,,,,,,,
teop1238,1SG.CONSEC,1SG.PRON.CONSEC,,,,,,,
teop1238,1SG.PRON,=1SG.PRON,,,,,,,
teop1238,2PL.PRON,2PL,,,,,,,
teop1238,3PL.IPFV,=3PL.IPFV,3PL.IPFV=,,,,,,
teop1238,3PL.OBJM,3PL.OBJM=,OBJ:3PL=,=3PL.OBJM,,,,,
teop1238,3PL.PRON,=3PL.PRON,,,,,,,
teop1238,3PRON=,3PRON,,,,,,,
teop1238,3SG.IPFV,IMPF,=3SG.IPFV,3SG.IPFV=,,,,,
teop1238,3SG.POSS=,3.SG.POSS=,3SG.POSS,,,,,,
teop1238,3SG.PRON,3SG,H.3SG.PRON,=3SG.PRON,,,,,
teop1238,4PL.PRON,4PL,,,,,,,
teop1238,4SG.PRON,4SG,4SG1.PRON,,,,,,
teop1238,ADVR-,ADV-,,,,,,,
teop1238,again,agaim,,,,,,,
teop1238,ah,ah!,Ah,,,,,,
teop1238,along,SIMUL,,,,,,,
teop1238,alright,well,,,,,,,
teop1238,also,additionally,too,,,,,,
teop1238,ANA,ANA.SG,,,,,,,
teop1238,and.so,and.then,,,,,,,
teop1238,and1,and1=,,,,,,,
teop1238,and4,and.4,and4=,,,,,,
teop1238,and4.ART1.SG,adn4.ART1.SG,,,,,,,
teop1238,APPL,APP,APPL=,,,,,,
teop1238,ART2.SG,ART2:SG,ART2.SG=,,,,,,
teop1238,bamboo.frame,baoru.bamboo,,,,,,,
teop1238,be.there,stay,be,,,,,,
teop1238,bear.fruit,fruit,,,,,,,
teop1238,board,come.in,,,,,,,
teop1238,bone,BONE,,,,,,,
teop1238,but,=but,,,,,,,
teop1238,can,be.able,,,,,,,
teop1238,coconut,coconut.palm,,,,,,,
teop1238,come.out,go.out,appear,,,,,,
teop1238,COMPL1,COMP1,COMPL,,,,,,
teop1238,COMPL2,COMP2,,,,,,,
teop1238,CONSEC,CONSEC=,,,,,,,
teop1238,CONT,CONT=,,,,,,,
teop1238,cut,cut.off,,,,,,,
teop1238,DAT,DAT=,,,,,,,
teop1238,dawn,dawn.break,break.of.dawn,set.off.at.dawn,,,,,
teop1238,DEM3,=DEM3,,,,,,,
teop1238,do,make,,,,,,,
teop1238,done,ready,,,,,,,
teop1238,enough,enough.for,,,,,,,
teop1238,enter,go.inside,go.into,,,,,,
teop1238,every,every.kind,all.kinds,all.kinds.of,,,,,
teop1238,fall,fall.down,,,,,,,
teop1238,finished,inished,complete,,,,,,
teop1238,fish,fish (n.),go.fishing,fish(v.),fish (v.),fishing,,,
teop1238,flee,run.away,,,,,,,
teop1238,gather,come.together,,,,,,,
teop1238,gently,cautiously,,,,,,,
teop1238,give.birth,give.birth.to,,,,,,,
teop1238,go.home,return.home,,,,,,,
