lang,gl,var1,var2,var3,var4,var5
texi1237,-1:PL,-2:PL,,,,
texi1237,-3:A-,-3/3-,,,,
texi1237,-en,-de,-debajo,,,
texi1237,=ya,ya,,,,
texi1237,1:A-,1/3-,,,,
texi1237,1:B-,3/1-,,,,
texi1237,1:PRON,1:PRON-,,,,
texi1237,2:A-,2/3-,,,,
texi1237,2:B-,3/2-,,,,
texi1237,acabar,terminar,,,,
texi1237,agarrar,traer,,,,
texi1237,algo,qué,,,,
texi1237,alguien,quién,persona_presente,,,
texi1237,alguna_cosa,qué_cosa,,,,
texi1237,aprender,saber(AUX),poder,,,
texi1237,árbol,palo,,,,
texi1237,bajar,bajarse,caer,,,
texi1237,bueno,bien,bonita,bonito,,
texi1237,cama,catre,,,,
texi1237,chico,chiquito,,,,
texi1237,cierto,recto,,,,
texi1237,cómo,como,,,,
texi1237,correr,huirse,,,,
texi1237,correr:FUT,huir:FUT,,,,
texi1237,cuando,cuándo,,,,
texi1237,cuánto,cuántos,cuanto,,,
texi1237,dar_asco,tener_asco,,,,
texi1237,defecar,cagar,,,,
texi1237,dónde,donde,adónde,adonde,,
texi1237,echar,meter,,,,
texi1237,en,arriba,de_arriba,,,
texi1237,en_la_tarde,tarde,,,,
texi1237,ese,esa,eso,esos,él,ellos
texi1237,esposo,marido,,,,
texi1237,estar,vivir,,,,
texi1237,este,esta,estos,,,
texi1237,EXCL,puta,,,,
texi1237,fuerte,recio,,,,
texi1237,golpear,despulpar,,,,
texi1237,hambre,tener_hambre,,,,
texi1237,hijo,hija,niño,,,
texi1237,hombre,señor,,,,
texi1237,hueso,pie,,,,
texi1237,IN,3/1:IN,3/IN,,,
texi1237,ir,ir(AUX),,,,
texi1237,joven,muchacho,,,,
texi1237,la,La,,,,
texi1237,madre,mamá,feminino,,,
texi1237,mirar,ver,,,,
texi1237,mujer,esposa,,,,
texi1237,NEG,IMP:NEG,,,,
texi1237,NEG-,IMP:NEG-,,,,
texi1237,oír,escuchar,entender,,,
texi1237,padre,papá,,,,
texi1237,PE,3:PRON,,,,
texi1237,pedir,solicitar,,,,
texi1237,perder,faltar,,,,
texi1237,PFV,PFV-,,,,
texi1237,poner,estibar,,,,
texi1237,precio,gasto,,,,
texi1237,PSD,=PSD,,,,
texi1237,qué_hora,qué_hora?,,,,
texi1237,recoger,pepenar,,,,
texi1237,regresar,volver,,,,
texi1237,saber,sentir,,,,
texi1237,subir,para_arriba,,,,
texi1237,tapar,cerrar,,,,
texi1237,todo,todos,todas,,,
texi1237,tomar,emborracharse,,,,
texi1237,un,una,uno,,,
texi1237,venir,venir(AUX),ven,,,
