lang,gl,var1,var2,var3
urum1249,-EPST.COP,EPST.COP,,
urum1249,-INST,-INSTR,,
urum1249,-LOC,-here,,
urum1249,-POSS.1.PL,-POSS.1,,
urum1249,-POSS.3.SG,-POSS.3,,
urum1249,-PST,-PST.COP,,
urum1249,-up/until,-till,till,
urum1249,=and,and,-and,
urum1249,=COMP,-COMP,,
urum1249,1.PL,1.PL.NOM,,
urum1249,1.SG,1.SG.NOM,,
urum1249,2.SG,2.PL,,
urum1249,3,3.SG,3.SG.M.NOM,3.PL.NOM
urum1249,about/maybe,about,,
urum1249,afterwards,afterwords,,
urum1249,Akhalkalak,Akhalkalaki,,
urum1249,all:SG.NOM,everything:SG.N.NOM,that's.it,
urum1249,already/still,already,,
urum1249,army,army:SG.F.NOM,,
urum1249,august,august:SG.M.NOM,,
urum1249,average,average:SG.M.NOM,,
urum1249,be:SG.PST.F,be.PST.SG.F,,
urum1249,be:SG.PST.M,be:3Sg.PST.M,,
urum1249,before,"before, straight",,
urum1249,beginning,beginning/head,,
urum1249,break,kill,,
urum1249,burn/light,burn,light,
urum1249,bury,buried,,
urum1249,by.foot,foot_by,,
urum1249,celebrate,celebrate:INF,,
urum1249,Christian,Christian:SG.M.NOM,,
urum1249,Christianity,Christianity:SG.N.NOM,,
urum1249,come:PVF.PST.3.PL,come:PVF.PST.3PL,,
urum1249,come/go.out/climb,go.out,,
urum1249,convulsion:PL.F.NOM,convulsion:PL.NOM,,
urum1249,daughter,girl,girl/daughter,
urum1249,destroy,derstoy,,
urum1249,divide,hand.out,,
urum1249,each,every,,
urum1249,eight_hundreds: SG.M.NOM,eight_hundreds:SG.M.NOM,,
urum1249,fall_down/get/turn,"fall_down, get, turn",get,
urum1249,family,family:SG.F.NOM,,
urum1249,father,father:SG.M.NOM,,
urum1249,folk.song,Turki,,
urum1249,Garak,Gerek,,
urum1249,General,General:SG.M.NOM,,
urum1249,Georgia,Georgia:SG.F.NOM,,
urum1249,Gizgharos,Jizkharo,,
urum1249,glass,glass:SG.M.NOM,,
urum1249,grade,grade:SG.M.NOM,,
urum1249,grandfather,grandfather:SG.M.NOM,,
urum1249,grandmother,grandmother:SG.F.NOM,,
urum1249,graze,harvest,,
urum1249,Greece,Greece:SG.F.NOM,,
urum1249,holiday,holiday:SG.M.NOM,,
urum1249,holiday:PL,holiday:PL.M.NOM,,
urum1249,home,house,,
urum1249,hungry,hungery,,
urum1249,important,important:SG.M.NOM,,
urum1249,let's_say,let's say,let's,
urum1249,look,look.after,,
urum1249,many,much,very,
urum1249,meet,meet:INF,,
urum1249,Moscow,Moscow:SG.F.NOM,,
urum1249,mother,mother:SG.F.NOM,-mother,
urum1249,mountain/hill,mountain,,
urum1249,move/pass,move,,
urum1249,music,music:SG.F.NOM,,
urum1249,nature,nature:SG.F.NOM,,
urum1249,near/next,near,next,
urum1249,nothing/something,nothing,something,
urum1249,pass,spend,,
urum1249,pontic,pontic:SG.M.NOM,,
urum1249,potato,potatoe,,
urum1249,quickly/early,quickly,,
urum1249,rain,snow,,
urum1249,region,region:SG.M.NOM,,
urum1249,religion,religion:SG.F.NOM,reigion,
urum1249,road,way,,
urum1249,run.away,run_away,run-away,
urum1249,Russia,Russia:SG.F.NOM,,
urum1249,Saint Mariam day,saint_mary_day,Saint.Maria's.day,
urum1249,school,school:SG.F.NOM,,
urum1249,shop,shop:SG.M.NOM,,
urum1249,sing,invite/sing,,
urum1249,so,such,,
urum1249,Soviet,Soviet:SG.M.NOM,,
urum1249,stay,stay:IMP,,
urum1249,storey,storey:SG.M.NOM,,
urum1249,study,study/read,read,
urum1249,take,take/buy,,
urum1249,teacher,teacher:SG.M.NOM,,
urum1249,thing,work,,
urum1249,time,time:SG.F.NOM,-time,
urum1249,torture,torture:SG.F.NOM,,
urum1249,Turkey,Turkey:SG.F.NOM,,
urum1249,two,two:SG.M/N.NOM/ACC,wo,
urum1249,union,union:SG.M.NOM,,
urum1249,war/fight,war,fight,
urum1249,"whole, right",whole,right,
urum1249,work (word play),work (wordplay),,
urum1249,work:PST.3SG.M,work:PST:3SG:M,,
urum1249,year,year:SG.M.NOM,,
