lang,gl,var1,var2,var3,var4
vera1241,-1SG,-1sg,,,
vera1241,-3DL,-3.DL,,,
vera1241,=TAM1,TAM1,,,
vera1241,adolescent,young.male,young.man,,
vera1241,alive,life,,,
vera1241,along,move.along,,,
vera1241,also,too,,,
vera1241,and,and.then,,,
vera1241,ants,ant,,,
vera1241,ART,PERS.ART,=ART,,
vera1241,at.sea,sea,seaside,,
vera1241,baby,infant,,,
vera1241,before,first,first.one,,
vera1241,bird.catch,bird.catching,,,
vera1241,break,smash,,,
vera1241,burn,light,,,
vera1241,carve,spear,,,
vera1241,chop,cut,,,
vera1241,close,close.to,,,
vera1241,community,folks,,,
vera1241,comrade,friend,,,
vera1241,DEM1.A,dem1.A,,,
vera1241,devour,nibble,,,
vera1241,down,seawards,,,
vera1241,end,finish,,,
vera1241,evening,afternoon,,,
vera1241,exit,leave,,,
vera1241,feel,hear,,,
vera1241,firstborn,first.born,firstborn.sibling,first.born.sibling,
vera1241,for,because,because.of,,
vera1241,get.up,go.up,,,
vera1241,give.birth,give.birth.to,,,
vera1241,grow,large,wide,,
vera1241,hand.move,hand.movement,move.hand,,
vera1241,hunger,hungry,,,
vera1241,in,inland,bushwards,,
vera1241,inform,tell,,,
vera1241,INTENS,once,at.once,quite,
vera1241,INTERJ,alright,hey,oh,ei
vera1241,jump,skip,,,
vera1241,kill,hit,,,
vera1241,land,village,,,
vera1241,men's.house,nakamal,,,
vera1241,moment,a.moment,for.the.moment,for.moment,
vera1241,mother,mum,,,
vera1241,NEG2,NY.NEG2,,,
vera1241,NSG-,NSG,,,
vera1241,off,away,,,
vera1241,other,oher,,,
vera1241,PART,PART.ART,,,
vera1241,probably,perhaps,,,
vera1241,saltwater,salt.water,,,
vera1241,same.sex.sibling,younger.same.sex.sibling,brother,-brother,
vera1241,search,seek,,,
vera1241,second.born,secondborn.sibling,second.born.sibling,lastborn,
vera1241,secure,block,,,
vera1241,small,child,offspring,,
vera1241,speak,say,,,
vera1241,spider,Spider,,,
vera1241,spirit,devil,,,
vera1241,story,narrate,,,
vera1241,TAM2,TAM2:3SG,=TAM2:3SG,,
vera1241,throw,throw.away,throw.out,,
vera1241,twin,twins,,,
vera1241,upwards,upward,go.upwards,,
vera1241,vine,vines,rope,,
vera1241,Vunu.Lava,Vanua.Lava,,,
vera1241,with,COM,,,
vera1241,younger.sibling,younger.sib,,,
